UUID,RFC Emisor,Nombre Emisor,RFC Receptor,Fecha,SubTotal,Tasa IVA,IVA,Total,Tipo,Concepto,Categoria,Deducible,Estatus
A1B25F3A-8B2C-9D1E-4F7A-2C8B6E3D1A4F,PRCO840215AB1,Proveedora Comercial SA,MIEMPRESA01,2024-01-04,2586.21,16%,413.79,3000.00,Egreso,Papeleria y utiles de oficina,Gastos de operacion,Si,Vigente
B2C39D1E-4F7A-2C8B-6E3D-1A4F5B205F3A,TELE920630CD2,Telecom Servicios SA,MIEMPRESA01,2024-01-06,1293.10,16%,206.90,1500.00,Egreso,Servicio de internet mensual,Servicios,Si,Vigente
C3D42C8B-6E3D-1A4F-5B20-5F3A8B2C9D1E,RENT780401EF3,Rentas Comerciales SA,MIEMPRESA01,2024-01-07,8620.69,16%,1379.31,10000.00,Egreso,Renta de oficina enero,Renta,Si,Vigente
D4E5A1B2-C3D4-E5F6-7890-ABCDEF123456,SUMIN860805GH4,Suministros Ind SA,MIEMPRESA01,2024-01-10,4655.17,16%,744.83,5400.00,Egreso,Material de produccion,Compras,Si,Vigente
E5F6B2C3-D4E5-F678-90AB-CDEF12345678,SERV950122IJ5,Servicios Tech SA,MIEMPRESA01,2024-01-14,5172.41,16%,827.59,6000.00,Egreso,Mantenimiento de equipo,Servicios,Si,Vigente
F6780123-4567-89AB-CDEF-012345678901,DIST810930KL6,Distribuidora Nacional,MIEMPRESA01,2024-01-17,1724.14,16%,275.86,2000.00,Egreso,Fletes y envios,Logistica,Si,Vigente
07891234-5678-90AB-CDEF-123456789012,GASO760415MN7,Gasolinera Express SA,MIEMPRESA01,2024-01-20,431.03,0%,0.00,431.03,Egreso,Gasolina vehiculo empresa,Transporte,Si,Vigente
18902345-6789-01BC-DEF0-234567890123,IMSS000000000,IMSS Cuotas Patronales,MIEMPRESA01,2024-01-21,3200.00,Exento,0.00,3200.00,Egreso,Cuotas IMSS enero,Nomina,Si,Vigente
29013456-7890-12CD-EF01-345678901234,CFEN700101OP8,CFE Norte SA,MIEMPRESA01,2024-01-23,862.07,16%,137.93,1000.00,Egreso,Servicio electrico,Servicios,Si,Vigente
30124567-8901-23DE-F012-456789012345,MEDIC901215QR9,Medica Seguro SA,MIEMPRESA01,2024-01-26,4310.34,0%,0.00,4310.34,Egreso,Seguro medico empleados,Seguros,Si,Vigente
41235678-9012-34EF-0123-567890123456,CONTA850620ST1,Contador Publico SC,MIEMPRESA01,2024-02-02,3448.28,16%,551.72,4000.00,Egreso,Honorarios contabilidad febrero,Honorarios,Si,Vigente
52346789-0123-45F0-1234-678901234567,PUBLI930410UV2,Publicidad Digital SA,MIEMPRESA01,2024-02-05,2155.17,16%,344.83,2500.00,Egreso,Campana de marketing,Marketing,Si,Vigente
63457890-1234-560G-2345-789012345678,LIMPI880227WX3,Limpiezas SA,MIEMPRESA01,2024-02-09,431.03,16%,68.97,500.00,Egreso,Servicio de limpieza,Servicios,Si,Vigente
74568901-2345-671H-3456-890123456789,SOFT1000101YZ4,Software Solutions SA,MIEMPRESA01,2024-02-12,6896.55,16%,1103.45,8000.00,Egreso,Licencia software anual,Tecnologia,Si,Vigente
85679012-3456-782I-4567-901234567890,RENT780401EF3,Rentas Comerciales SA,MIEMPRESA01,2024-02-07,8620.69,16%,1379.31,10000.00,Egreso,Renta de oficina febrero,Renta,Si,Vigente
